Sr No.,Quality,Item,Color/Range,Size,Op. Stock,Total IN/Pur.,Total OUT/Sale,Net Stock
360,NA,KH-419 [1],CP,128mm,0,0,31,-31
361,NA,KH-419 [1],CP,96mm,0,0,101,-101
362,NA,KH-421 [1],Matt,224mm,0,68,2,66
363,NA,KH-421 [1],CP,160mm,0,123,30,93
364,NA,KH-421 [1],Matt,96mm,0,283,55,228
365,NA,KH-421 [1],Matt,128mm,0,127,25,102
366,NA,KH-421 [1],Matt,160mm,0,181,10,171
367,NA,KH-421 [1],CP,224mm,0,82,29,53
368,NA,KH-421 [1],CP,128mm,0,195,66,129
369,NA,KH-421 [1],CP,96mm,0,178,173,5
370,NA,KH-422 [1],Matt,224mm,0,57,1,56
371,NA,KH-422 [1],Matt,288mm,0,66,0,66
372,NA,KH-422 [1],Antique,96mm,0,486,155,331
373,NA,KH-422 [1],Antique,160mm,0,231,102,129
374,NA,KH-422 [1],Antique,224mm,0,20,16,4
375,NA,KH-422 [1],CP,288mm,0,31,2,29
376,NA,KH-422 [1],Matt,96mm,0,158,5,153
377,NA,KH-422 [1],Matt,160mm,0,115,4,111
378,NA,KH-422 [1],CP,224mm,0,56,0,56
379,NA,KH-422 [1],CP,160mm,0,141,38,103
380,NA,KH-422 [1],CP,96mm,0,233,118,115
381,NA,KH-423 [1],CPTT,160mm,0,39,0,39
382,NA,KH-423 [1],CPTT,128mm,0,96,19,77
383,NA,KH-423 [1],CPTT,96mm,0,175,15,160
384,NA,KH-423 [K],CPTT,224mm,0,21,0,21
385,NA,KH-424 [1],CP,224mm,0,61,14,47
386,NA,KH-424 [1],CP,160mm,0,135,52,83
387,NA,KH-424 [1],CP,96mm,0,580,340,240
388,NA,KH-425 [1],Matt,224mm,0,55,0,55
389,NA,KH-425 [1],Matt,288mm,0,43,3,40
390,NA,KH-425 [1],CP,288mm,0,39,0,39
391,NA,KH-425 [1],Matt,160mm,0,173,94,79
392,NA,KH-425 [1],CP,224mm,0,61,2,59
393,NA,KH-425 [1],CP,96mm,0,327,227,100
394,NA,KH-425 [425],Matt,96mm,0,464,419,45
395,NA,KH-425 [KH],CP,160mm,0,172,33,139
396,NA,KH-426 [1],Matt,96mm,0,240,98,142
397,NA,KH-426 [1],Matt,128mm,0,184,46,138
398,NA,KH-426 [1],Matt,224mm,0,76,2,74
399,NA,KH-426 [1],CP,160mm,0,106,1,105
400,NA,KH-426 [1],CP,224mm,0,33,0,33
401,NA,KH-426 [1],CP,128mm,0,133,0,133
402,NA,KH-426 [1],CP,96mm,0,184,14,170
403,NA,KH-426 [K],Matt,160mm,0,39,6,33
404,NA,KH-427 [1],Satin,224mm,0,40,3,37
